Year,Year ending,Local Government Area,Location Division,Location Subdivision,Location Group,Incidents Recorded
2022,March,Alpine,1 Residential,11 Dwelling - private,111 Flat/Unit/Apartment,4
2022,March,Alpine,1 Residential,11 Dwelling - private,112 House,118
2022,March,Alpine,1 Residential,11 Dwelling - private,114 Caravan/Mobile Home,3
2022,March,Alpine,1 Residential,11 Dwelling - private,116 Ministry Of Housing,1
2022,March,Alpine,1 Residential,11 Dwelling - private,117 Farm House,4
2022,March,Alpine,1 Residential,12 Dwelling  - non-private,125 Hotel/Motel,5
2022,March,Alpine,1 Residential,12 Dwelling  - non-private,126 Other Dwelling,1
2022,March,Alpine,1 Residential,13 Grounds/surrounding land,1310 Farm Building,5
2022,March,Alpine,1 Residential,13 Grounds/surrounding land,132 Backyard,1
2022,March,Alpine,1 Residential,13 Grounds/surrounding land,133 Frontyard,8
2022,March,Alpine,1 Residential,13 Grounds/surrounding land,134 Garage,3
2022,March,Alpine,1 Residential,13 Grounds/surrounding land,135 Shed,2
2022,March,Alpine,1 Residential,13 Grounds/surrounding land,137 Other Residential (nec),1
2022,March,Alpine,1 Residential,13 Grounds/surrounding land,138 Driveway/Carport,9
2022,March,Alpine,2 Community,21 Education,211 School,4
2022,March,Alpine,2 Community,21 Education,212 School Grounds,1
2022,March,Alpine,2 Community,22 Health,221 Hospital,1
2022,March,Alpine,2 Community,22 Health,222 Medical Centre,1
2022,March,Alpine,2 Community,25 Other Transport,255 Carpark (Single Level),6
2022,March,Alpine,2 Community,26 Justice,261 Police Station,2
2022,March,Alpine,2 Community,26 Justice,262 Court,6
2022,March,Alpine,2 Community,27 Open Space,271 Parkland/Reserve,24
2022,March,Alpine,2 Community,27 Open Space,272 Rural,6
2022,March,Alpine,2 Community,27 Open Space,275 Other Open Space,7
2022,March,Alpine,2 Community,28 Street/footpath,281 Street/Lane/Footpath,61
2022,March,Alpine,2 Community,29 Other community location,292 Civic Centre,1
2022,March,Alpine,2 Community,29 Other community location,294 Car Wash,1
2022,March,Alpine,3 Other,31 Admin/professional,311 Business Office,7
2022,March,Alpine,3 Other,32 Financial,321 Bank,1
2022,March,Alpine,3 Other,33 Retail,3311 Restaurant/Fastfood,1
2022,March,Alpine,3 Other,33 Retail,3312 Other Retail,13
2022,March,Alpine,3 Other,33 Retail,332 Service Station,3
2022,March,Alpine,3 Other,33 Retail,334 2nd Hand Dealer,1
2022,March,Alpine,3 Other,33 Retail,335 Supermarket,10
2022,March,Alpine,3 Other,33 Retail,336 Department Store,3
2022,March,Alpine,3 Other,33 Retail,337 Shopping Complex,1
2022,March,Alpine,3 Other,37 Agricultural,371 Farmland/Agricultural,2
2022,March,Alpine,3 Other,37 Agricultural,373 Other Agricultural,2
2022,March,Alpine,3 Other,38 Recreational,381 Licensed Premises,17
2022,March,Alpine,3 Other,38 Recreational,384 Sport Area/Facility,3
2022,March,Alpine,3 Other,38 Recreational,385 Gaming Venue,1
2022,March,Alpine,3 Other,38 Recreational,386 Other Rec./Sports,2
2022,March,Alpine,3 Other,39 Other location,392 Other Location (Not Elsewhere),6
2022,March,Ararat,1 Residential,11 Dwelling - private,111 Flat/Unit/Apartment,26
2022,March,Ararat,1 Residential,11 Dwelling - private,112 House,301
2022,March,Ararat,1 Residential,11 Dwelling - private,113 Bungalow,1
2022,March,Ararat,1 Residential,11 Dwelling - private,114 Caravan/Mobile Home,4
2022,March,Ararat,1 Residential,11 Dwelling - private,117 Farm House,7
2022,March,Ararat,1 Residential,12 Dwelling  - non-private,122 Holiday Home,1
2022,March,Ararat,1 Residential,12 Dwelling  - non-private,123 Guest House,2
2022,March,Ararat,1 Residential,12 Dwelling  - non-private,124 Nursing Home,3
2022,March,Ararat,1 Residential,12 Dwelling  - non-private,125 Hotel/Motel,3
2022,March,Ararat,1 Residential,12 Dwelling  - non-private,126 Other Dwelling,4
2022,March,Ararat,1 Residential,13 Grounds/surrounding land,1310 Farm Building,2
2022,March,Ararat,1 Residential,13 Grounds/surrounding land,132 Backyard,11
2022,March,Ararat,1 Residential,13 Grounds/surrounding land,133 Frontyard,20
2022,March,Ararat,1 Residential,13 Grounds/surrounding land,134 Garage,5
2022,March,Ararat,1 Residential,13 Grounds/surrounding land,135 Shed,9
2022,March,Ararat,1 Residential,13 Grounds/surrounding land,136 Premises Under Construction,1
2022,March,Ararat,1 Residential,13 Grounds/surrounding land,137 Other Residential (nec),3
2022,March,Ararat,1 Residential,13 Grounds/surrounding land,138 Driveway/Carport,18
2022,March,Ararat,2 Community,21 Education,211 School,9
2022,March,Ararat,2 Community,21 Education,212 School Grounds,5
2022,March,Ararat,2 Community,21 Education,213 Other Educational,1
2022,March,Ararat,2 Community,22 Health,221 Hospital,4
2022,March,Ararat,2 Community,22 Health,222 Medical Centre,3
2022,March,Ararat,2 Community,22 Health,224 Other Health,5
2022,March,Ararat,2 Community,24 Public Transport,242 Train Station,3
2022,March,Ararat,2 Community,24 Public Transport,245 Bus/Bus Stop,5
2022,March,Ararat,2 Community,25 Other Transport,251 Private Car,3
2022,March,Ararat,2 Community,25 Other Transport,255 Carpark (Single Level),9
2022,March,Ararat,2 Community,25 Other Transport,257 Other Transport Type/Area,3
2022,March,Ararat,2 Community,26 Justice,261 Police Station,6
2022,March,Ararat,2 Community,26 Justice,262 Court,25
2022,March,Ararat,2 Community,26 Justice,265 Other Justice Facility,6
2022,March,Ararat,2 Community,27 Open Space,271 Parkland/Reserve,34
2022,March,Ararat,2 Community,27 Open Space,272 Rural,15
2022,March,Ararat,2 Community,27 Open Space,275 Other Open Space,7
2022,March,Ararat,2 Community,28 Street/footpath,281 Street/Lane/Footpath,197
2022,March,Ararat,2 Community,29 Other community location,291 Cemetery,1
2022,March,Ararat,2 Community,29 Other community location,292 Civic Centre,1
2022,March,Ararat,2 Community,29 Other community location,294 Car Wash,1
2022,March,Ararat,3 Other,31 Admin/professional,312 Other Admin/Professional,1
2022,March,Ararat,3 Other,32 Financial,321 Bank,2
2022,March,Ararat,3 Other,33 Retail,331 Chemist/Pharmacy,1
2022,March,Ararat,3 Other,33 Retail,3311 Restaurant/Fastfood,4
2022,March,Ararat,3 Other,33 Retail,3312 Other Retail,14
2022,March,Ararat,3 Other,33 Retail,332 Service Station,17
2022,March,Ararat,3 Other,33 Retail,334 2nd Hand Dealer,1
2022,March,Ararat,3 Other,33 Retail,335 Supermarket,21
2022,March,Ararat,3 Other,33 Retail,336 Department Store,3
2022,March,Ararat,3 Other,33 Retail,337 Shopping Complex,4
2022,March,Ararat,3 Other,33 Retail,338 Car Sales Yard,3
2022,March,Ararat,3 Other,34 Wholesale,341 Any Wholesale,1
2022,March,Ararat,3 Other,35 Warehousing/storage,351 Warehousing/Storage,7
2022,March,Ararat,3 Other,36 Manufacturing,361 Factory,2
2022,March,Ararat,3 Other,36 Manufacturing,362 Any Manufacturing,1
2022,March,Ararat,3 Other,37 Agricultural,371 Farmland/Agricultural,18
2022,March,Ararat,3 Other,37 Agricultural,373 Other Agricultural,2
2022,March,Ararat,3 Other,38 Recreational,381 Licensed Premises,13
2022,March,Ararat,3 Other,38 Recreational,382 Tab,2
2022,March,Ararat,3 Other,38 Recreational,384 Sport Area/Facility,11
2022,March,Ararat,3 Other,38 Recreational,385 Gaming Venue,1
2022,March,Ararat,3 Other,38 Recreational,386 Other Rec./Sports,9
2022,March,Ararat,3 Other,39 Other location,392 Other Location (Not Elsewhere),15
2022,March,Ararat,3 Other,39 Other location,393 Construction Site,2
2022,March,Ballarat,1 Residential,11 Dwelling - private,111 Flat/Unit/Apartment,267
2022,March,Ballarat,1 Residential,11 Dwelling - private,112 House,2177
