Year,Local Government Area,Investigation Status,Offence Count
2022,Alpine,Arrest/Summons,285
2022,Alpine,Not authorised,31
2022,Alpine,Other,110
2022,Alpine,Unsolved,122
2022,Ararat,Arrest/Summons,936
2022,Ararat,Not authorised,66
2022,Ararat,Other,196
2022,Ararat,Unsolved,308
2022,Ballarat,Arrest/Summons,4512
2022,Ballarat,Not authorised,275
2022,Ballarat,Other,1063
2022,Ballarat,Unsolved,4438
2022,Banyule,Arrest/Summons,3617
2022,Banyule,Not authorised,378
2022,Banyule,Other,704
2022,Banyule,Unsolved,2492
2022,Bass Coast,Arrest/Summons,1490
2022,Bass Coast,Not authorised,211
2022,Bass Coast,Other,430
2022,Bass Coast,Unsolved,882
2022,Baw Baw,Arrest/Summons,2223
2022,Baw Baw,Not authorised,238
2022,Baw Baw,Other,702
2022,Baw Baw,Unsolved,1102
2022,Bayside,Arrest/Summons,1499
2022,Bayside,Not authorised,224
2022,Bayside,Other,486
2022,Bayside,Unsolved,2196
2022,Benalla,Arrest/Summons,724
2022,Benalla,Not authorised,87
2022,Benalla,Other,204
2022,Benalla,Unsolved,376
2022,Boroondara,Arrest/Summons,2533
2022,Boroondara,Not authorised,228
2022,Boroondara,Other,690
2022,Boroondara,Unsolved,3759
2022,Brimbank,Arrest/Summons,7700
2022,Brimbank,Not authorised,556
2022,Brimbank,Other,1304
2022,Brimbank,Unsolved,7279
2022,Buloke,Arrest/Summons,121
2022,Buloke,Not authorised,9
2022,Buloke,Other,84
2022,Buloke,Unsolved,98
2022,Campaspe,Arrest/Summons,1421
2022,Campaspe,Not authorised,130
2022,Campaspe,Other,528
2022,Campaspe,Unsolved,1150
2022,Cardinia,Arrest/Summons,2634
2022,Cardinia,Not authorised,313
2022,Cardinia,Other,944
2022,Cardinia,Unsolved,2420
2022,Casey,Arrest/Summons,8483
2022,Casey,Not authorised,1131
2022,Casey,Other,2353
2022,Casey,Unsolved,7654
2022,Central Goldfields,Arrest/Summons,533
2022,Central Goldfields,Not authorised,67
2022,Central Goldfields,Other,228
2022,Central Goldfields,Unsolved,304
2022,Colac-Otway,Arrest/Summons,793
2022,Colac-Otway,Not authorised,115
2022,Colac-Otway,Other,289
2022,Colac-Otway,Unsolved,418
2022,Corangamite,Arrest/Summons,460
2022,Corangamite,Not authorised,25
2022,Corangamite,Other,83
2022,Corangamite,Unsolved,272
2022,Darebin,Arrest/Summons,5521
2022,Darebin,Not authorised,415
2022,Darebin,Other,1409
2022,Darebin,Unsolved,5079
2022,East Gippsland,Arrest/Summons,2337
2022,East Gippsland,Not authorised,358
2022,East Gippsland,Other,922
2022,East Gippsland,Unsolved,1338
2022,Frankston,Arrest/Summons,6212
2022,Frankston,Not authorised,733
2022,Frankston,Other,1453
2022,Frankston,Unsolved,3320
2022,Gannawarra,Arrest/Summons,394
2022,Gannawarra,Not authorised,25
2022,Gannawarra,Other,122
2022,Gannawarra,Unsolved,255
2022,Glen Eira,Arrest/Summons,2250
2022,Glen Eira,Not authorised,288
2022,Glen Eira,Other,793
2022,Glen Eira,Unsolved,3220
2022,Glenelg,Arrest/Summons,962
2022,Glenelg,Not authorised,94
2022,Glenelg,Other,301
2022,Glenelg,Unsolved,363
2022,Golden Plains,Arrest/Summons,274
2022,Golden Plains,Not authorised,20
2022,Golden Plains,Other,51
2022,Golden Plains,Unsolved,248
2022,Greater Bendigo,Arrest/Summons,5092
2022,Greater Bendigo,Not authorised,361
2022,Greater Bendigo,Other,1400
2022,Greater Bendigo,Unsolved,3383
2022,Greater Dandenong,Arrest/Summons,7289
2022,Greater Dandenong,Not authorised,565
2022,Greater Dandenong,Other,1816
2022,Greater Dandenong,Unsolved,5851
2022,Greater Geelong,Arrest/Summons,9866
2022,Greater Geelong,Not authorised,747
2022,Greater Geelong,Other,2057
2022,Greater Geelong,Unsolved,7285
2022,Greater Shepparton,Arrest/Summons,5001
2022,Greater Shepparton,Not authorised,340
2022,Greater Shepparton,Other,854
2022,Greater Shepparton,Unsolved,2539
2022,Hepburn,Arrest/Summons,196
2022,Hepburn,Not authorised,33
2022,Hepburn,Other,47
2022,Hepburn,Unsolved,269
2022,Hindmarsh,Arrest/Summons,222
2022,Hindmarsh,Not authorised,15
2022,Hindmarsh,Other,56
2022,Hindmarsh,Unsolved,149
2022,Hobsons Bay,Arrest/Summons,2420
2022,Hobsons Bay,Not authorised,251
2022,Hobsons Bay,Other,696
2022,Hobsons Bay,Unsolved,2517
