year,psa_name,lga_name,offence_div_name,offence_subdiv_name,offence_subgrp_name,incident_count,psa_rate_per_100000pop,lga_rate_per_100000pop,region_name
2022,Ballarat,Ballarat,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,5,4.059101193,4.328088671,4 Western
2022,Ballarat,Ballarat,A Crimes against the person,A20 Assault and related offences,A211 FV Serious assault,120,97.418428627,103.87412811,4 Western
2022,Ballarat,Ballarat,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,147,119.337575068,127.245806934,4 Western
2022,Ballarat,Ballarat,A Crimes against the person,A20 Assault and related offences,"A22 Assault police, emergency services or other authorised officer",53,43.026472644,45.877739915,4 Western
2022,Ballarat,Ballarat,A Crimes against the person,A20 Assault and related offences,A231 FV Common assault,222,180.22409296,192.167137003,4 Western
2022,Ballarat,Ballarat,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,185,150.186744134,160.139280836,4 Western
2022,Ballarat,Ballarat,A Crimes against the person,A30 Sexual offences,A30 Sexual offences,184,149.374923895,159.273663101,4 Western
2022,Ballarat,Ballarat,A Crimes against the person,A40 Abduction and related offences,A41 Abduction,5,4.059101193,4.328088671,4 Western
2022,Ballarat,Ballarat,A Crimes against the person,A40 Abduction and related offences,A42 False imprisonment,6,4.870921431,5.193706405,4 Western
2022,Ballarat,Ballarat,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,21,17.04822501,18.177972419,4 Western
2022,Ballarat,Ballarat,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,5,4.059101193,4.328088671,4 Western
2022,Ballarat,Ballarat,A Crimes against the person,A60 Blackmail and extortion,A61 Blackmail,3,2.435460716,2.596853203,4 Western
2022,Ballarat,Ballarat,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A711 FV Stalking,26,21.107326203,22.50606109,4 Western
2022,Ballarat,Ballarat,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,8,6.494561908,6.924941874,4 Western
2022,Ballarat,Ballarat,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A721 FV Harassment and private nuisance,4,3.247280954,3.462470937,4 Western
2022,Ballarat,Ballarat,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,3,2.435460716,2.596853203,4 Western
2022,Ballarat,Ballarat,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A731 FV Threatening behaviour,22,17.860045248,19.043590153,4 Western
2022,Ballarat,Ballarat,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,25,20.295505964,21.640443356,4 Western
2022,Ballarat,Ballarat,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,45,36.531910735,38.952798041,4 Western
2022,Ballarat,Ballarat,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A82 Neglect or ill treatment of people,2,1.623640477,1.731235468,4 Western
2022,Ballarat,Ballarat,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,16,12.989123817,13.849883748,4 Western
2022,Ballarat,Ballarat,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,59,47.897394075,51.071446321,4 Western
2022,Ballarat,Ballarat,B Property and deception offences,B10 Arson,B11 Cause damage by fire,82,66.569259562,70.980654208,4 Western
2022,Ballarat,Ballarat,B Property and deception offences,B10 Arson,B12 Cause a bushfire,1,0.811820239,0.865617734,4 Western
2022,Ballarat,Ballarat,B Property and deception offences,B10 Arson,B19 Other fire related offences,2,1.623640477,1.731235468,4 Western
2022,Ballarat,Ballarat,B Property and deception offences,B20 Property damage,B21 Criminal damage,708,574.7687289,612.857355846,4 Western
2022,Ballarat,Ballarat,B Property and deception offences,B20 Property damage,B22 Graffiti,61,49.521034552,52.802681789,4 Western
2022,Ballarat,Ballarat,B Property and deception offences,B20 Property damage,B29 Other property damage offences,1,0.811820239,0.865617734,4 Western
2022,Ballarat,Ballarat,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,151,122.584856023,130.708277871,4 Western
2022,Ballarat,Ballarat,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,3,2.435460716,2.596853203,4 Western
2022,Ballarat,Ballarat,B Property and deception offences,B30 Burglary/Break and enter,B319 Unknown aggravated burglary,1,0.811820239,0.865617734,4 Western
2022,Ballarat,Ballarat,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,312,253.287914431,270.072733085,4 Western
2022,Ballarat,Ballarat,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,180,146.127642941,155.811192164,4 Western
2022,Ballarat,Ballarat,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,367,297.938027551,317.681708468,4 Western
2022,Ballarat,Ballarat,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,1301,1056.178130366,1126.168672254,4 Western
2022,Ballarat,Ballarat,B Property and deception offences,B40 Theft,B43 Steal from a retail store,388,314.986252561,335.859680887,4 Western
2022,Ballarat,Ballarat,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,93,75.499282186,80.502449285,4 Western
2022,Ballarat,Ballarat,B Property and deception offences,B40 Theft,B45 Receiving or handling stolen goods,104,84.42930481,90.024244362,4 Western
2022,Ballarat,Ballarat,B Property and deception offences,B40 Theft,B49 Other theft,621,504.140368146,537.548612967,4 Western
2022,Ballarat,Ballarat,B Property and deception offences,B50 Deception,B51 Forgery and counterfeiting,48,38.967371451,41.549651244,4 Western
2022,Ballarat,Ballarat,B Property and deception offences,B50 Deception,B53 Obtain benefit by deception,188,152.622204849,162.736134038,4 Western
2022,Ballarat,Ballarat,B Property and deception offences,B50 Deception,B54 State false information,10,8.118202386,8.656177342,4 Western
2022,Ballarat,Ballarat,B Property and deception offences,B50 Deception,B56 Professional malpractice and misrepresentation,3,2.435460716,2.596853203,4 Western
2022,Ballarat,Ballarat,B Property and deception offences,B60 Bribery,B61 Bribery of officials,1,0.811820239,0.865617734,4 Western
2022,Ballarat,Ballarat,C Drug offences,C10 Drug dealing and trafficking,C12 Drug trafficking,34,27.601888111,29.431002964,4 Western
2022,Ballarat,Ballarat,C Drug offences,C20 Cultivate or manufacture drugs,C21 Cultivate drugs,11,8.930022624,9.521795077,4 Western
2022,Ballarat,Ballarat,C Drug offences,C30 Drug use and possession,C31 Drug use,1,0.811820239,0.865617734,4 Western
2022,Ballarat,Ballarat,C Drug offences,C30 Drug use and possession,C32 Drug possession,110,89.300226242,95.217950767,4 Western
2022,Ballarat,Ballarat,C Drug offences,C90 Other drug offences,C99 Other drug offences,1,0.811820239,0.865617734,4 Western
2022,Ballarat,Ballarat,D Public order and security offences,D10 Weapons and explosives offences,D11 Firearms offences,61,49.521034552,52.802681789,4 Western
2022,Ballarat,Ballarat,D Public order and security offences,D10 Weapons and explosives offences,D12 Prohibited and controlled weapons offences,117,94.982967911,101.277274907,4 Western
2022,Ballarat,Ballarat,D Public order and security offences,D20 Disorderly and offensive conduct,D21 Riot and affray,8,6.494561908,6.924941874,4 Western
2022,Ballarat,Ballarat,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,53,43.026472644,45.877739915,4 Western
2022,Ballarat,Ballarat,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,19,15.424584533,16.446736951,4 Western
2022,Ballarat,Ballarat,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language,4,3.247280954,3.462470937,4 Western
2022,Ballarat,Ballarat,D Public order and security offences,D20 Disorderly and offensive conduct,D25 Criminal intent,1,0.811820239,0.865617734,4 Western
2022,Ballarat,Ballarat,D Public order and security offences,D20 Disorderly and offensive conduct,D26 Disorderly conduct,1,0.811820239,0.865617734,4 Western
2022,Ballarat,Ballarat,D Public order and security offences,D30 Public nuisance offences,D31 Privacy offences,1,0.811820239,0.865617734,4 Western
2022,Ballarat,Ballarat,D Public order and security offences,D30 Public nuisance offences,D32 Hoaxes,1,0.811820239,0.865617734,4 Western
2022,Ballarat,Ballarat,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,13,10.553663101,11.253030545,4 Western
2022,Ballarat,Ballarat,D Public order and security offences,D40 Public security offences,D43 Hacking,1,0.811820239,0.865617734,4 Western
2022,Ballarat,Ballarat,E Justice procedures offences,E10 Justice procedures,E11 Escape custody,1,0.811820239,0.865617734,4 Western
2022,Ballarat,Ballarat,E Justice procedures offences,E10 Justice procedures,E13 Resist or hinder officer,253,205.390520356,219.001286764,4 Western
