year,region_name,lga_name,incident_count,rate_per_100000pop
2022,1 North West Metro,Banyule,5244,4086.865525466
2022,1 North West Metro,Brimbank,12330,6200.959480232
2022,1 North West Metro,Darebin,9276,5751.475727256
2022,1 North West Metro,Hobsons Bay,4599,4804.89612819
2022,1 North West Metro,Hume,12196,4919.684614534
2022,1 North West Metro,Maribyrnong,7025,7486.953068068
2022,1 North West Metro,Melbourne,25036,14582.311374876
2022,1 North West Metro,Melton,8805,4668.504451099
2022,1 North West Metro,Moonee Valley,6018,4685.637553682
2022,1 North West Metro,Moreland,9173,4992.233638729
2022,1 North West Metro,Nillumbik,1319,2063.770802694
2022,1 North West Metro,Whittlesea,8939,3720.498248721
2022,1 North West Metro,Wyndham,12094,4048.936235895
2022,1 North West Metro,Yarra,8790,8734.362735294
2022,2 Eastern,Alpine,371,2827.30161542
2022,2 Eastern,Bass Coast,2147,5360.565038689
2022,2 Eastern,Baw Baw,3036,5205.671945141
2022,2 Eastern,Benalla,978,6900.8966767
2022,2 Eastern,Boroondara,5448,3117.506027675
2022,2 Eastern,East Gippsland,3640,7434.664595923
2022,2 Eastern,Greater Shepparton,5785,8622.304460955
2022,2 Eastern,Indigo,465,2718.087515359
2022,2 Eastern,Knox,6631,4132.500067609
2022,2 Eastern,Latrobe,7826,10243.784764294
2022,2 Eastern,Manningham,2867,2288.265093745
2022,2 Eastern,Mansfield,339,3430.63658528
2022,2 Eastern,Maroondah,5094,4367.476560633
2022,2 Eastern,Mitchell,2350,4589.877335431
2022,2 Eastern,Moira,1573,5218.356630046
2022,2 Eastern,Monash,8309,4227.536271064
2022,2 Eastern,Murrindindi,531,3545.543600664
2022,2 Eastern,South Gippsland,1194,3896.177051074
2022,2 Eastern,Strathbogie,446,3943.839096258
2022,2 Eastern,Towong,148,2424.042939333
2022,2 Eastern,Wangaratta,1655,5593.184073972
2022,2 Eastern,Wellington,2964,6528.415062054
2022,2 Eastern,Whitehorse,5459,3120.210745078
2022,2 Eastern,Wodonga,2682,6124.529573123
2022,2 Eastern,Yarra Ranges,4986,3164.298740035
2022,3 Southern Metro,Bayside,3346,3217.395462919
2022,3 Southern Metro,Cardinia,4618,3835.877021702
2022,3 Southern Metro,Casey,14154,3790.374659932
2022,3 Southern Metro,Frankston,8319,5958.041941685
2022,3 Southern Metro,Glen Eira,5032,3284.949982131
2022,3 Southern Metro,Greater Dandenong,11369,7044.528517872
2022,3 Southern Metro,Kingston,6823,4194.111582722
2022,3 Southern Metro,Mornington Peninsula,6420,3806.322915619
2022,3 Southern Metro,Port Phillip,9157,8215.660527162
2022,3 Southern Metro,Stonnington,7820,6914.164943547
2022,4 Western,Ararat,960,8008.42003121
2022,4 Western,Ballarat,7594,6573.501073865
2022,4 Western,Buloke,224,3692.993356252
2022,4 Western,Campaspe,2419,6388.455074096
2022,4 Western,Central Goldfields,823,6223.254223026
2022,4 Western,Colac-Otway,1214,5669.299512991
2022,4 Western,Corangamite,580,3701.057294251
2022,4 Western,Gannawarra,565,5394.611116803
2022,4 Western,Glenelg,1203,6160.286874483
2022,4 Western,Golden Plains,420,1664.088513719
2022,4 Western,Greater Bendigo,7501,6091.569462131
2022,4 Western,Greater Geelong,14569,5291.348003254
2022,4 Western,Hepburn,436,2662.84381795
2022,4 Western,Hindmarsh,304,5482.881243084
2022,4 Western,Horsham,1608,8030.751095373
2022,4 Western,Loddon,387,5139.654249974
2022,4 Western,Macedon Ranges,1391,2654.612253837
2022,4 Western,Mildura,4895,8897.562805423
2022,4 Western,Moorabool,1573,4207.418457443
2022,4 Western,Mount Alexander,716,3514.073447963
2022,4 Western,Moyne,546,3143.793685225
