Year,Year ending,Local Government Area,Charge Status,Incidents Recorded
2022,March,Alpine,Charges laid,149
2022,March,Alpine,No charges laid,114
2022,March,Alpine,Unsolved,108
2022,March,Ararat,Charges laid,467
2022,March,Ararat,No charges laid,217
2022,March,Ararat,Unsolved,276
2022,March,Ballarat,Charges laid,2512
2022,March,Ballarat,No charges laid,1083
2022,March,Ballarat,Unsolved,3999
2022,March,Banyule,Charges laid,2087
2022,March,Banyule,No charges laid,882
2022,March,Banyule,Unsolved,2275
2022,March,Bass Coast,Charges laid,811
2022,March,Bass Coast,No charges laid,539
2022,March,Bass Coast,Unsolved,797
2022,March,Baw Baw,Charges laid,1273
2022,March,Baw Baw,No charges laid,773
2022,March,Baw Baw,Unsolved,990
2022,March,Bayside,Charges laid,786
2022,March,Bayside,No charges laid,553
2022,March,Bayside,Unsolved,2007
2022,March,Benalla,Charges laid,420
2022,March,Benalla,No charges laid,219
2022,March,Benalla,Unsolved,339
2022,March,Boroondara,Charges laid,1330
2022,March,Boroondara,No charges laid,663
2022,March,Boroondara,Unsolved,3455
2022,March,Brimbank,Charges laid,4014
2022,March,Brimbank,No charges laid,1669
2022,March,Brimbank,Unsolved,6647
2022,March,Buloke,Charges laid,52
2022,March,Buloke,No charges laid,83
2022,March,Buloke,Unsolved,89
2022,March,Campaspe,Charges laid,843
2022,March,Campaspe,No charges laid,580
2022,March,Campaspe,Unsolved,996
2022,March,Cardinia,Charges laid,1424
2022,March,Cardinia,No charges laid,1034
2022,March,Cardinia,Unsolved,2160
2022,March,Casey,Charges laid,4446
2022,March,Casey,No charges laid,2883
2022,March,Casey,Unsolved,6825
2022,March,Central Goldfields,Charges laid,319
2022,March,Central Goldfields,No charges laid,238
2022,March,Central Goldfields,Unsolved,266
2022,March,Colac-Otway,Charges laid,457
2022,March,Colac-Otway,No charges laid,364
2022,March,Colac-Otway,Unsolved,393
2022,March,Corangamite,Charges laid,243
2022,March,Corangamite,No charges laid,88
2022,March,Corangamite,Unsolved,249
2022,March,Darebin,Charges laid,3055
2022,March,Darebin,No charges laid,1491
2022,March,Darebin,Unsolved,4730
2022,March,East Gippsland,Charges laid,1354
2022,March,East Gippsland,No charges laid,1067
2022,March,East Gippsland,Unsolved,1219
2022,March,Frankston,Charges laid,3513
2022,March,Frankston,No charges laid,1798
2022,March,Frankston,Unsolved,3008
2022,March,Gannawarra,Charges laid,214
2022,March,Gannawarra,No charges laid,137
2022,March,Gannawarra,Unsolved,214
2022,March,Glen Eira,Charges laid,1201
2022,March,Glen Eira,No charges laid,813
2022,March,Glen Eira,Unsolved,3018
2022,March,Glenelg,Charges laid,542
2022,March,Glenelg,No charges laid,327
2022,March,Glenelg,Unsolved,334
2022,March,Golden Plains,Charges laid,130
2022,March,Golden Plains,No charges laid,63
2022,March,Golden Plains,Unsolved,227
2022,March,Greater Bendigo,Charges laid,2983
2022,March,Greater Bendigo,No charges laid,1480
2022,March,Greater Bendigo,Unsolved,3038
2022,March,Greater Dandenong,Charges laid,4022
2022,March,Greater Dandenong,No charges laid,2083
2022,March,Greater Dandenong,Unsolved,5264
2022,March,Greater Geelong,Charges laid,5517
2022,March,Greater Geelong,No charges laid,2376
2022,March,Greater Geelong,Unsolved,6676
2022,March,Greater Shepparton,Charges laid,2506
2022,March,Greater Shepparton,No charges laid,987
2022,March,Greater Shepparton,Unsolved,2292
2022,March,Hepburn,Charges laid,135
2022,March,Hepburn,No charges laid,65
2022,March,Hepburn,Unsolved,236
2022,March,Hindmarsh,Charges laid,109
2022,March,Hindmarsh,No charges laid,55
2022,March,Hindmarsh,Unsolved,140
2022,March,Hobsons Bay,Charges laid,1448
