,Year,Local Government Area,Charge Status,Incidents Recorded
0,2022,Alpine,Charges laid,149
1,2022,Alpine,No charges laid,114
2,2022,Alpine,Unsolved,108
3,2022,Ararat,Charges laid,467
4,2022,Ararat,No charges laid,217
5,2022,Ararat,Unsolved,276
6,2022,Ballarat,Charges laid,2512
7,2022,Ballarat,No charges laid,1083
8,2022,Ballarat,Unsolved,3999
9,2022,Banyule,Charges laid,2087
10,2022,Banyule,No charges laid,882
11,2022,Banyule,Unsolved,2275
12,2022,Bass Coast,Charges laid,811
13,2022,Bass Coast,No charges laid,539
14,2022,Bass Coast,Unsolved,797
15,2022,Baw Baw,Charges laid,1273
16,2022,Baw Baw,No charges laid,773
17,2022,Baw Baw,Unsolved,990
18,2022,Bayside,Charges laid,786
19,2022,Bayside,No charges laid,553
20,2022,Bayside,Unsolved,2007
21,2022,Benalla,Charges laid,420
22,2022,Benalla,No charges laid,219
23,2022,Benalla,Unsolved,339
24,2022,Boroondara,Charges laid,1330
25,2022,Boroondara,No charges laid,663
26,2022,Boroondara,Unsolved,3455
27,2022,Brimbank,Charges laid,4014
28,2022,Brimbank,No charges laid,1669
29,2022,Brimbank,Unsolved,6647
30,2022,Buloke,Charges laid,52
31,2022,Buloke,No charges laid,83
32,2022,Buloke,Unsolved,89
33,2022,Campaspe,Charges laid,843
34,2022,Campaspe,No charges laid,580
35,2022,Campaspe,Unsolved,996
36,2022,Cardinia,Charges laid,1424
37,2022,Cardinia,No charges laid,1034
38,2022,Cardinia,Unsolved,2160
39,2022,Casey,Charges laid,4446
40,2022,Casey,No charges laid,2883
41,2022,Casey,Unsolved,6825
42,2022,Central Goldfields,Charges laid,319
43,2022,Central Goldfields,No charges laid,238
44,2022,Central Goldfields,Unsolved,266
45,2022,Colac-Otway,Charges laid,457
46,2022,Colac-Otway,No charges laid,364
47,2022,Colac-Otway,Unsolved,393
48,2022,Corangamite,Charges laid,243
49,2022,Corangamite,No charges laid,88
50,2022,Corangamite,Unsolved,249
51,2022,Darebin,Charges laid,3055
52,2022,Darebin,No charges laid,1491
53,2022,Darebin,Unsolved,4730
54,2022,East Gippsland,Charges laid,1354
55,2022,East Gippsland,No charges laid,1067
56,2022,East Gippsland,Unsolved,1219
57,2022,Frankston,Charges laid,3513
58,2022,Frankston,No charges laid,1798
59,2022,Frankston,Unsolved,3008
60,2022,Gannawarra,Charges laid,214
61,2022,Gannawarra,No charges laid,137
62,2022,Gannawarra,Unsolved,214
63,2022,Glen Eira,Charges laid,1201
64,2022,Glen Eira,No charges laid,813
65,2022,Glen Eira,Unsolved,3018
66,2022,Glenelg,Charges laid,542
67,2022,Glenelg,No charges laid,327
68,2022,Glenelg,Unsolved,334
69,2022,Golden Plains,Charges laid,130
70,2022,Golden Plains,No charges laid,63
71,2022,Golden Plains,Unsolved,227
72,2022,Greater Bendigo,Charges laid,2983
73,2022,Greater Bendigo,No charges laid,1480
74,2022,Greater Bendigo,Unsolved,3038
75,2022,Greater Dandenong,Charges laid,4022
76,2022,Greater Dandenong,No charges laid,2083
77,2022,Greater Dandenong,Unsolved,5264
78,2022,Greater Geelong,Charges laid,5517
79,2022,Greater Geelong,No charges laid,2376
80,2022,Greater Geelong,Unsolved,6676
81,2022,Greater Shepparton,Charges laid,2506
82,2022,Greater Shepparton,No charges laid,987
83,2022,Greater Shepparton,Unsolved,2292
84,2022,Hepburn,Charges laid,135
85,2022,Hepburn,No charges laid,65
86,2022,Hepburn,Unsolved,236
87,2022,Hindmarsh,Charges laid,109
88,2022,Hindmarsh,No charges laid,55
89,2022,Hindmarsh,Unsolved,140
90,2022,Hobsons Bay,Charges laid,1448
91,2022,Hobsons Bay,No charges laid,773
92,2022,Hobsons Bay,Unsolved,2378
93,2022,Horsham,Charges laid,784
94,2022,Horsham,No charges laid,357
95,2022,Horsham,Unsolved,467
96,2022,Hume,Charges laid,4094
97,2022,Hume,No charges laid,2495
98,2022,Hume,Unsolved,5607
99,2022,Indigo,Charges laid,125
100,2022,Indigo,No charges laid,108
101,2022,Indigo,Unsolved,232
102,2022,Kingston,Charges laid,2114
103,2022,Kingston,No charges laid,1218
104,2022,Kingston,Unsolved,3491
105,2022,Knox,Charges laid,2375
106,2022,Knox,No charges laid,1544
107,2022,Knox,Unsolved,2712
108,2022,Latrobe,Charges laid,3454
109,2022,Latrobe,No charges laid,1992
110,2022,Latrobe,Unsolved,2380
111,2022,Loddon,Charges laid,158
112,2022,Loddon,No charges laid,69
113,2022,Loddon,Unsolved,160
114,2022,Macedon Ranges,Charges laid,528
115,2022,Macedon Ranges,No charges laid,364
116,2022,Macedon Ranges,Unsolved,499
117,2022,Manningham,Charges laid,783
118,2022,Manningham,No charges laid,570
119,2022,Manningham,Unsolved,1514
120,2022,Mansfield,Charges laid,125
121,2022,Mansfield,No charges laid,94
122,2022,Mansfield,Unsolved,120
123,2022,Maribyrnong,Charges laid,1758
124,2022,Maribyrnong,No charges laid,872
125,2022,Maribyrnong,Unsolved,4395
126,2022,Maroondah,Charges laid,2055
127,2022,Maroondah,No charges laid,1023
128,2022,Maroondah,Unsolved,2016
129,2022,Melbourne,Charges laid,7434
130,2022,Melbourne,No charges laid,5824
131,2022,Melbourne,Unsolved,11778
132,2022,Melton,Charges laid,2852
133,2022,Melton,No charges laid,1328
134,2022,Melton,Unsolved,4625
135,2022,Mildura,Charges laid,1978
136,2022,Mildura,No charges laid,1167
137,2022,Mildura,Unsolved,1750
138,2022,Mitchell,Charges laid,882
139,2022,Mitchell,No charges laid,658
140,2022,Mitchell,Unsolved,810
141,2022,Moira,Charges laid,718
142,2022,Moira,No charges laid,284
143,2022,Moira,Unsolved,571
144,2022,Monash,Charges laid,2442
145,2022,Monash,No charges laid,1215
146,2022,Monash,Unsolved,4652
147,2022,Moonee Valley,Charges laid,1856
148,2022,Moonee Valley,No charges laid,997
149,2022,Moonee Valley,Unsolved,3165
150,2022,Moorabool,Charges laid,522
151,2022,Moorabool,No charges laid,400
152,2022,Moorabool,Unsolved,651
153,2022,Moreland,Charges laid,2363
154,2022,Moreland,No charges laid,1195
155,2022,Moreland,Unsolved,5615
156,2022,Mornington Peninsula,Charges laid,2169
157,2022,Mornington Peninsula,No charges laid,1732
158,2022,Mornington Peninsula,Unsolved,2519
159,2022,Mount Alexander,Charges laid,275
160,2022,Mount Alexander,No charges laid,147
