,Year,Police Region,Local Government Area,Incidents Recorded,"Rate per 100,000 population"
0,2022,1 North West Metro,Banyule,5244,4086.865525466
1,2022,1 North West Metro,Brimbank,12330,6200.959480232
2,2022,1 North West Metro,Darebin,9276,5751.475727256
3,2022,1 North West Metro,Hobsons Bay,4599,4804.89612819
4,2022,1 North West Metro,Hume,12196,4919.684614534
5,2022,1 North West Metro,Maribyrnong,7025,7486.953068068
6,2022,1 North West Metro,Melbourne,25036,14582.311374876
7,2022,1 North West Metro,Melton,8805,4668.504451099
8,2022,1 North West Metro,Moonee Valley,6018,4685.637553682
9,2022,1 North West Metro,Moreland,9173,4992.233638729
10,2022,1 North West Metro,Nillumbik,1319,2063.770802694
11,2022,1 North West Metro,Whittlesea,8939,3720.498248721
12,2022,1 North West Metro,Wyndham,12094,4048.936235895
13,2022,1 North West Metro,Yarra,8790,8734.362735294
14,2022,1 North West Metro,Total,130844,5684.269141554
15,2022,2 Eastern,Alpine,371,2827.30161542
16,2022,2 Eastern,Bass Coast,2147,5360.565038689
17,2022,2 Eastern,Baw Baw,3036,5205.671945141
18,2022,2 Eastern,Benalla,978,6900.8966767
19,2022,2 Eastern,Boroondara,5448,3117.506027675
20,2022,2 Eastern,East Gippsland,3640,7434.664595923
21,2022,2 Eastern,Greater Shepparton,5785,8622.304460955
22,2022,2 Eastern,Indigo,465,2718.087515359
23,2022,2 Eastern,Knox,6631,4132.500067609
24,2022,2 Eastern,Latrobe,7826,10243.784764294
25,2022,2 Eastern,Manningham,2867,2288.265093745
26,2022,2 Eastern,Mansfield,339,3430.63658528
27,2022,2 Eastern,Maroondah,5094,4367.476560633
28,2022,2 Eastern,Mitchell,2350,4589.877335431
29,2022,2 Eastern,Moira,1573,5218.356630046
30,2022,2 Eastern,Monash,8309,4227.536271064
31,2022,2 Eastern,Murrindindi,531,3545.543600664
32,2022,2 Eastern,South Gippsland,1194,3896.177051074
33,2022,2 Eastern,Strathbogie,446,3943.839096258
34,2022,2 Eastern,Towong,148,2424.042939333
35,2022,2 Eastern,Wangaratta,1655,5593.184073972
36,2022,2 Eastern,Wellington,2964,6528.415062054
37,2022,2 Eastern,Whitehorse,5459,3120.210745078
38,2022,2 Eastern,Wodonga,2682,6124.529573123
39,2022,2 Eastern,Yarra Ranges,4986,3164.298740035
40,2022,2 Eastern,Total,76924,4486.722215106
41,2022,3 Southern Metro,Bayside,3346,3217.395462919
42,2022,3 Southern Metro,Cardinia,4618,3835.877021702
43,2022,3 Southern Metro,Casey,14154,3790.374659932
44,2022,3 Southern Metro,Frankston,8319,5958.041941685
45,2022,3 Southern Metro,Glen Eira,5032,3284.949982131
46,2022,3 Southern Metro,Greater Dandenong,11369,7044.528517872
47,2022,3 Southern Metro,Kingston,6823,4194.111582722
48,2022,3 Southern Metro,Mornington Peninsula,6420,3806.322915619
49,2022,3 Southern Metro,Port Phillip,9157,8215.660527162
50,2022,3 Southern Metro,Stonnington,7820,6914.164943547
51,2022,3 Southern Metro,Total,77058,4792.432060789
52,2022,4 Western,Ararat,960,8008.42003121
53,2022,4 Western,Ballarat,7594,6573.501073865
54,2022,4 Western,Buloke,224,3692.993356252
55,2022,4 Western,Campaspe,2419,6388.455074096
56,2022,4 Western,Central Goldfields,823,6223.254223026
